scenario_id,ego_id,rule,repairability,model,TV,TC,
DEU_LocationBUpper-1_18_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationBUpper-1_18_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationALower-43_26_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationEUpper-21_31_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationEUpper-21_31_T-1,11,R_G1,not repairable,"{'~c', 'a', 'd', 'b'}",25,23,
DEU_LocationAUpper-42_30_T-1,19,R_G1,initial feasibility,,,,
DEU_LocationFLower-58_2_T-1,18,R_G1,bingo,"{'~c', 'a', 'd', 'b'}",10,7,
DEU_LocationALower-31_20_T-1,18,R_G1,initial feasibility,,,,
DEU_LocationALower-31_20_T-1,20,R_G1,initial feasibility,,,,
DEU_LocationAUpper-52_19_T-1,18,R_G1,bingo,"{'~c', 'a', 'd', 'b'}",10,6,
DEU_LocationAUpper-40_47_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationCLower-5_51_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationAUpper-28_24_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationAUpper-11_24_T-1,7,R_G1,initial feasibility,,,,
DEU_LocationAUpper-11_24_T-1,13,R_G1,bingo,{'d'},37,36,
DEU_LocationALower-13_24_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationALower-13_24_T-1,15,R_G1,bingo,"{'~c', 'a', 'd', 'b'}",9,8,
DEU_LocationALower-45_19_T-1,6,R_G1,initial feasibility,,,,
DEU_LocationALower-45_19_T-1,12,R_G1,bingo,"{'~d', 'b', '~a'}",5,4,
DEU_LocationALower-28_34_T-1,19,R_G1,initial feasibility,,,,
DEU_LocationALower-56_36_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationEUpper-23_8_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationELower-16_5_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationELower-16_36_T-1,6,R_G1,initial feasibility,,,,
DEU_LocationELower-16_36_T-1,9,R_G1,bingo,{'d'},24,23,
DEU_LocationELower-16_36_T-1,11,R_G1,bingo,{'d'},44,27,
DEU_LocationALower-46_11_T-1,15,R_G1,bingo,{'d'},40,39,
DEU_LocationALower-46_11_T-1,21,R_G1,bingo,{'d'},16,10,
DEU_LocationAUpper-36_7_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationAUpper-36_7_T-1,19,R_G1,bingo,"{'a', 'd', 'b'}",10,9,
DEU_LocationFUpper-59_6_T-1,16,R_G1,bingo,"{'a', 'd'}",41,40,
DEU_LocationALower-39_10_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationALower-39_10_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationDLower-9_31_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationDLower-9_31_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationALower-30_9_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationAUpper-37_2_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationELower-24_18_T-1,8,R_G1,bingo,"{'a', 'd', 'b'}",9,8,
DEU_LocationALower-48_39_T-1,11,R_G1,bingo,{'d'},5,4,
DEU_LocationALower-48_39_T-1,20,R_G1,initial feasibility,,,,
DEU_LocationALower-48_39_T-1,22,R_G1,initial feasibility,,,,
DEU_LocationALower-12_32_T-1,6,R_G1,initial feasibility,,,,
DEU_LocationALower-14_55_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationALower-14_55_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationALower-14_55_T-1,26,R_G1,initial feasibility,,,,
DEU_LocationALower-14_55_T-1,29,R_G1,initial feasibility,,,,
DEU_LocationAUpper-53_21_T-1,7,R_G1,initial feasibility,,,,
DEU_LocationALower-29_19_T-1,16,R_G1,bingo,"{'b', '~a'}",21,20,
DEU_LocationAUpper-13_37_T-1,7,R_G1,bingo,{'d'},11,10,
DEU_LocationALower-52_29_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationALower-55_40_T-1,17,R_G1,bingo,{'d'},34,33,
DEU_LocationALower-47_26_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationAUpper-55_22_T-1,25,R_G1,initial feasibility,,,,
DEU_LocationALower-46_2_T-1,22,R_G1,bingo,"{'~c', 'a', 'd'}",32,31,
DEU_LocationAUpper-12_29_T-1,21,R_G1,bingo,"{'d', 'b'}",33,32,
DEU_LocationAUpper-13_10_T-1,22,R_G1,bingo,{'d'},12,11,
DEU_LocationAUpper-43_42_T-1,14,R_G1,bingo,{'d'},6,5,
DEU_LocationALower-52_27_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationELower-20_33_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationCUpper-4_20_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationAUpper-41_51_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationALower-36_38_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationALower-36_38_T-1,15,R_G1,bingo,{'d'},15,14,
DEU_LocationALower-36_38_T-1,19,R_G1,initial feasibility,,,,
DEU_LocationALower-36_38_T-1,25,R_G1,bingo,{'d'},12,11,
DEU_LocationAUpper-39_41_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationAUpper-40_22_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationALower-41_53_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationALower-41_53_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationALower-25_36_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationAUpper-40_51_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationEUpper-23_46_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationEUpper-23_46_T-1,20,R_G1,initial feasibility,,,,
DEU_LocationALower-49_26_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationALower-12_45_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationALower-12_45_T-1,16,R_G1,bingo,"{'~c', 'a', 'd', 'b'}",19,18,
DEU_LocationALower-11_9_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationALower-11_9_T-1,15,R_G1,bingo,"{'~c', 'd'}",9,8,
DEU_LocationALower-11_9_T-1,23,R_G1,not repairable,"{'~c', 'a', 'd', 'b'}",3,2,
DEU_LocationALower-37_31_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationAUpper-25_41_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationAUpper-25_41_T-1,31,R_G1,bingo,"{'a', 'd', 'b'}",66,65,
DEU_LocationALower-14_52_T-1,12,R_G1,bingo,{'d'},31,30,
DEU_LocationALower-14_52_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationCUpper-6_4_T-1,6,R_G1,initial feasibility,,,,
DEU_LocationALower-26_20_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationELower-19_16_T-1,11,R_G1,bingo,{'d'},28,27,
DEU_LocationALower-47_43_T-1,13,R_G1,bingo,{'d'},14,13,
DEU_LocationAUpper-36_61_T-1,18,R_G1,not repairable,"{'~c', 'a', 'd', 'b'}",4,3,
DEU_LocationAUpper-36_61_T-1,21,R_G1,initial feasibility,,,,
DEU_LocationALower-36_5_T-1,13,R_G1,bingo,{'d'},19,18,
DEU_LocationALower-57_35_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationAUpper-38_24_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationALower-25_8_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationAUpper-26_5_T-1,23,R_G1,bingo,{'d'},23,22,
DEU_LocationALower-38_16_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationALower-38_16_T-1,18,R_G1,bingo,"{'a', 'd'}",50,49,
DEU_LocationALower-38_16_T-1,20,R_G1,bingo,{'d'},24,23,
DEU_LocationEUpper-20_11_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationEUpper-20_11_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationALower-30_46_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationALower-35_6_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationALower-35_6_T-1,21,R_G1,initial feasibility,,,,
DEU_LocationCLower-6_3_T-1,6,R_G1,initial feasibility,,,,
DEU_LocationEUpper-21_37_T-1,6,R_G1,initial feasibility,,,,
DEU_LocationAUpper-31_8_T-1,15,R_G1,bingo,{'d'},41,40,
DEU_LocationAUpper-42_5_T-1,9,R_G1,not repairable,"{'a', '~d', 'c', 'b'}",26,-inf,
DEU_LocationAUpper-42_5_T-1,20,R_G1,initial feasibility,,,,
DEU_LocationAUpper-36_3_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationAUpper-36_3_T-1,25,R_G1,bingo,{'d'},3,2,
DEU_LocationALower-41_23_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationALower-30_24_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationAUpper-53_23_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationAUpper-53_23_T-1,15,R_G1,bingo,"{'~c', 'a', 'd', 'b'}",13,11,
DEU_LocationAUpper-53_23_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationBUpper-1_32_T-1,7,R_G1,initial feasibility,,,,
DEU_LocationALower-56_26_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationALower-49_49_T-1,19,R_G1,bingo,"{'a', 'd', 'b'}",26,25,
DEU_LocationALower-14_40_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationALower-14_40_T-1,24,R_G1,bingo,{'~a'},3,2,
DEU_LocationELower-16_26_T-1,10,R_G1,bingo,{'d'},46,45,
DEU_LocationAUpper-25_39_T-1,15,R_G1,bingo,{'d'},22,21,
DEU_LocationAUpper-25_39_T-1,24,R_G1,bingo,"{'a', 'd', 'b'}",25,24,
DEU_LocationALower-53_2_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationALower-53_2_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationAUpper-39_17_T-1,19,R_G1,initial feasibility,,,,
DEU_LocationCUpper-6_38_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationAUpper-55_4_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationAUpper-55_4_T-1,19,R_G1,bingo,"{'~d', '~a'}",32,31,
DEU_LocationFUpper-60_46_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationALower-38_26_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationALower-38_26_T-1,23,R_G1,bingo,{'d'},28,27,
DEU_LocationALower-45_48_T-1,27,R_G1,bingo,{'d'},31,30,
DEU_LocationAUpper-50_57_T-1,11,R_G1,bingo,"{'~c', 'a', 'd', 'b'}",7,6,
DEU_LocationAUpper-11_16_T-1,15,R_G1,bingo,{'d'},22,21,
DEU_LocationAUpper-11_16_T-1,23,R_G1,bingo,{'d'},49,48,
DEU_LocationAUpper-11_16_T-1,24,R_G1,bingo,{'d'},20,19,
DEU_LocationAUpper-11_16_T-1,26,R_G1,initial feasibility,,,,
DEU_LocationALower-27_27_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationALower-46_10_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationALower-46_10_T-1,17,R_G1,bingo,"{'~c', 'd'}",41,40,
DEU_LocationALower-43_25_T-1,19,R_G1,initial feasibility,,,,
DEU_LocationAUpper-45_45_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationAUpper-45_45_T-1,22,R_G1,initial feasibility,,,,
DEU_LocationAUpper-34_34_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationALower-14_16_T-1,24,R_G1,initial feasibility,,,,
DEU_LocationAUpper-54_52_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationALower-27_34_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationALower-45_6_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationDLower-7_2_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationDLower-7_2_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationAUpper-55_25_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationALower-48_13_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationALower-40_2_T-1,6,R_G1,initial feasibility,,,,
DEU_LocationALower-40_2_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationALower-40_2_T-1,21,R_G1,bingo,{'d'},24,23,
DEU_LocationALower-53_14_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationCUpper-6_23_T-1,11,R_G1,not repairable,"{'~c', '~d', 'b', '~a'}",2,-inf,
DEU_LocationAUpper-35_17_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationAUpper-35_17_T-1,19,R_G1,bingo,{'d'},35,34,
DEU_LocationEUpper-24_22_T-1,6,R_G1,initial feasibility,,,,
DEU_LocationAUpper-26_48_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationALower-47_40_T-1,18,R_G1,initial feasibility,,,,
DEU_LocationALower-47_40_T-1,23,R_G1,initial feasibility,,,,
DEU_LocationDUpper-8_50_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationALower-51_20_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationAUpper-51_5_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationAUpper-28_20_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationAUpper-28_20_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationBLower-2_43_T-1,5,R_G1,bingo,"{'~c', 'a', 'd'}",7,2,
DEU_LocationAUpper-27_49_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationFUpper-60_31_T-1,17,R_G1,not repairable,"{'~c', 'a', 'd', 'b'}",13,12,
DEU_LocationFUpper-60_40_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationFUpper-60_40_T-1,13,R_G1,bingo,"{'~c', 'd', 'b'}",29,28,
DEU_LocationELower-18_13_T-1,7,R_G1,initial feasibility,,,,
DEU_LocationDUpper-9_39_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationELower-20_44_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationALower-28_48_T-1,6,R_G1,initial feasibility,,,,
DEU_LocationAUpper-12_7_T-1,25,R_G1,bingo,{'d'},9,8,
DEU_LocationAUpper-12_7_T-1,26,R_G1,bingo,"{'a', 'd'}",15,14,
DEU_LocationALower-26_56_T-1,37,R_G1,bingo,{'d'},3,2,
DEU_LocationAUpper-38_17_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationAUpper-33_30_T-1,11,R_G1,bingo,{'d'},16,15,
DEU_LocationBUpper-3_19_T-1,5,R_G1,initial feasibility,,,,
DEU_LocationAUpper-47_4_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationAUpper-47_4_T-1,23,R_G1,initial feasibility,,,,
DEU_LocationALower-28_2_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationALower-28_2_T-1,19,R_G1,bingo,{'d'},9,8,
DEU_LocationFLower-59_7_T-1,11,R_G1,bingo,"{'~c', 'a', 'd', 'b'}",6,4,
DEU_LocationAUpper-28_58_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationAUpper-12_21_T-1,22,R_G1,bingo,{'d'},62,61,
DEU_LocationAUpper-12_21_T-1,25,R_G1,initial feasibility,,,,
DEU_LocationAUpper-12_21_T-1,33,R_G1,initial feasibility,,,,
DEU_LocationALower-13_36_T-1,18,R_G1,bingo,"{'~d', 'b', '~a'}",2,1,
DEU_LocationAUpper-43_10_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationALower-56_5_T-1,20,R_G1,bingo,{'d'},44,42,
DEU_LocationAUpper-26_11_T-1,20,R_G1,bingo,"{'d', 'b'}",64,63,
DEU_LocationAUpper-26_11_T-1,32,R_G1,bingo,{'d'},10,9,
DEU_LocationAUpper-26_11_T-1,33,R_G1,bingo,{'d'},6,5,
DEU_LocationEUpper-16_8_T-1,4,R_G1,initial feasibility,,,,
DEU_LocationALower-31_56_T-1,14,R_G1,bingo,{'d'},3,2,
DEU_LocationALower-31_56_T-1,19,R_G1,bingo,{'d'},5,4,
DEU_LocationALower-11_8_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationALower-57_5_T-1,17,R_G1,bingo,{'d'},40,25,
DEU_LocationALower-42_23_T-1,11,R_G1,bingo,"{'a', 'd'}",9,8,
DEU_LocationALower-52_32_T-1,8,R_G1,bingo,"{'a', 'd'}",8,7,
DEU_LocationAUpper-41_28_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationAUpper-41_28_T-1,24,R_G1,bingo,{'d'},8,5,
DEU_LocationAUpper-41_28_T-1,25,R_G1,initial feasibility,,,,
DEU_LocationALower-32_26_T-1,16,R_G1,bingo,{'d'},45,44,
DEU_LocationBUpper-1_20_T-1,4,R_G1,bingo,{'d'},16,15,
DEU_LocationAUpper-11_5_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationAUpper-11_5_T-1,19,R_G1,bingo,"{'a', 'd', 'b'}",3,2,
DEU_LocationAUpper-25_59_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationAUpper-34_7_T-1,14,R_G1,bingo,{'~a'},4,1,
DEU_LocationAUpper-51_17_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationAUpper-45_23_T-1,18,R_G1,initial feasibility,,,,
DEU_LocationALower-52_46_T-1,16,R_G1,bingo,{'d'},9,8,
DEU_LocationALower-54_38_T-1,9,R_G1,bingo,{'d'},15,14,
DEU_LocationELower-19_33_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationELower-19_33_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationAUpper-39_13_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationALower-55_21_T-1,20,R_G1,bingo,{'d'},53,52,
DEU_LocationALower-44_33_T-1,15,R_G1,bingo,"{'~d', '~a'}",27,26,
DEU_LocationALower-27_40_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationALower-27_40_T-1,16,R_G1,bingo,{'d'},31,30,
DEU_LocationAUpper-45_8_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationAUpper-39_6_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationAUpper-39_6_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationALower-49_10_T-1,20,R_G1,bingo,{'d'},7,6,
DEU_LocationALower-45_11_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationALower-45_11_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationCUpper-5_27_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationALower-28_27_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationALower-28_27_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationAUpper-14_5_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationAUpper-14_5_T-1,27,R_G1,initial feasibility,,,,
DEU_LocationAUpper-36_62_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationAUpper-27_8_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationBLower-1_7_T-1,5,R_G1,initial feasibility,,,,
DEU_LocationALower-51_26_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationALower-51_26_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationALower-51_26_T-1,15,R_G1,bingo,{'d'},19,18,
DEU_LocationALower-51_26_T-1,19,R_G1,initial feasibility,,,,
DEU_LocationAUpper-57_38_T-1,11,R_G1,bingo,{'d'},25,24,
DEU_LocationAUpper-29_52_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationALower-14_10_T-1,14,R_G1,bingo,{'d'},5,4,
DEU_LocationAUpper-31_25_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationELower-16_2_T-1,7,R_G1,bingo,{'d'},26,25,
DEU_LocationELower-16_2_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationALower-35_32_T-1,15,R_G1,bingo,{'d'},19,18,
DEU_LocationALower-41_52_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationAUpper-53_42_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationALower-56_47_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationALower-46_32_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationALower-46_32_T-1,27,R_G1,initial feasibility,,,,
DEU_LocationAUpper-31_38_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationAUpper-40_30_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationAUpper-40_30_T-1,18,R_G1,initial feasibility,,,,
DEU_LocationAUpper-30_12_T-1,9,R_G1,bingo,{'d'},19,18,
DEU_LocationALower-13_18_T-1,22,R_G1,initial feasibility,,,,
DEU_LocationDUpper-7_13_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationDUpper-7_13_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationAUpper-12_24_T-1,33,R_G1,bingo,{'d'},80,79,
DEU_LocationEUpper-19_33_T-1,6,R_G1,initial feasibility,,,,
DEU_LocationBUpper-2_3_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationDUpper-8_3_T-1,11,R_G1,bingo,"{'~c', 'a', 'd', 'b'}",4,3,
DEU_LocationDUpper-8_3_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationFUpper-59_18_T-1,14,R_G1,not repairable,"{'~c', 'a', '~d', '~b'}",10,-inf,
DEU_LocationAUpper-13_46_T-1,16,R_G1,bingo,{'d'},19,18,
DEU_LocationAUpper-13_46_T-1,19,R_G1,bingo,{'d'},9,8,
DEU_LocationALower-40_6_T-1,16,R_G1,bingo,{'d'},3,2,
DEU_LocationELower-23_16_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationALower-38_40_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationALower-38_40_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationAUpper-43_6_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationAUpper-43_6_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationAUpper-43_6_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationAUpper-43_6_T-1,22,R_G1,initial feasibility,,,,
DEU_LocationEUpper-22_26_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationEUpper-22_26_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationEUpper-22_26_T-1,20,R_G1,initial feasibility,,,,
DEU_LocationAUpper-33_41_T-1,17,R_G1,bingo,"{'~c', 'a', 'd', 'b'}",10,9,
DEU_LocationAUpper-33_41_T-1,19,R_G1,initial feasibility,,,,
DEU_LocationAUpper-49_44_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationAUpper-49_44_T-1,19,R_G1,initial feasibility,,,,
