scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,
DEU_LocationALower-29_192_T-1,9,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'a', 'd', '~g', 'c'}",8,-inf,2.36034393310547E-05,0.070688009262085,0,0.070711612701416,5,1,
DEU_LocationALower-29_245_T-1,12,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",8,-inf,2.12192535400391E-05,0.0374209880828857,0,0.0374422073364258,6,1,
DEU_LocationALower-29_249_T-1,23,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",3,-inf,2.43186950683594E-05,0.0280945301055908,0,0.0281188488006592,16,1,
DEU_LocationALower-29_65_T-1,8,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",2,-inf,2.36034393310547E-05,0.015575647354126,0,0.015599250793457,11,1,
DEU_LocationALower-29_70_T-1,11,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",2,-inf,2.00271606445312E-05,0.0154774188995361,0,0.0154974460601807,11,1,
DEU_LocationALower-30_218_T-1,16,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",5,-inf,2.33650207519531E-05,0.0271847248077393,0,0.0272080898284912,11,1,
DEU_LocationALower-30_46_T-1,16,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",5,-inf,2.47955322265625E-05,0.0274875164031982,0,0.0275123119354248,18,1,
DEU_LocationALower-31_154_T-1,9,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",10,-inf,2.62260437011719E-05,0.0262570381164551,0,0.0262832641601562,11,1,
DEU_LocationALower-31_239_T-1,16,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",4,-inf,2.14576721191406E-05,0.0292723178863525,0,0.0292937755584717,17,1,
DEU_LocationALower-31_258_T-1,12,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'a', 'd', '~g', 'c'}",5,-inf,2.21729278564453E-05,0.0227842330932617,0,0.0228064060211182,10,1,
DEU_LocationALower-31_31_T-1,15,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",3,-inf,2.09808349609375E-05,0.027515172958374,0,0.027536153793335,6,1,
DEU_LocationALower-31_47_T-1,13,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'a', 'd', '~g', 'c'}",7,-inf,2.05039978027344E-05,0.114261627197266,0,0.114282131195068,10,1,
DEU_LocationALower-32_186_T-1,12,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",2,-inf,2.76565551757812E-05,0.0153539180755615,0,0.0153815746307373,8,1,
DEU_LocationALower-32_70_T-1,14,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",2,-inf,2.05039978027344E-05,0.0154612064361572,0,0.01548171043396,11,1,
DEU_LocationALower-32_84_T-1,13,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",8,-inf,2.02655792236328E-05,0.0369534492492676,0,0.0369737148284912,6,1,
DEU_LocationALower-33_120_T-1,9,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'a', 'd', '~g', 'c'}",2,-inf,2.33650207519531E-05,0.116087198257446,0,0.116110563278198,7,1,
DEU_LocationALower-33_124_T-1,21,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",9,-inf,2.19345092773437E-05,0.0363192558288574,0,0.0363411903381348,21,1,
DEU_LocationALower-33_142_T-1,10,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",5,-inf,2.09808349609375E-05,0.0200772285461426,0,0.0200982093811035,15,1,
DEU_LocationALower-33_183_T-1,25,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",6,-inf,1.97887420654297E-05,0.02642822265625,0,0.0264480113983154,20,1,
DEU_LocationALower-33_233_T-1,14,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",9,-inf,2.288818359375E-05,0.0380399227142334,0,0.0380628108978271,10,1,
DEU_LocationALower-33_46_T-1,17,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'a', 'd', '~g', 'c'}",2,-inf,2.09808349609375E-05,0.0755388736724854,0,0.0755598545074463,10,1,
DEU_LocationALower-33_96_T-1,9,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",3,-inf,2.288818359375E-05,0.0273909568786621,0,0.0274138450622559,9,1,
DEU_LocationALower-34_163_T-1,15,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'a', 'd', '~g', 'c'}",10,-inf,2.14576721191406E-05,0.0690429210662842,0,0.0690643787384033,13,1,
DEU_LocationALower-34_37_T-1,9,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",2,-inf,2.07424163818359E-05,0.0151171684265137,0,0.0151379108428955,15,1,
DEU_LocationALower-35_126_T-1,20,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",2,-inf,2.24113464355469E-05,0.0159282684326172,0,0.0159506797790527,14,1,
DEU_LocationALower-35_263_T-1,12,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",1,-inf,3.02791595458984E-05,0.0154569149017334,0,0.0154871940612793,11,1,
DEU_LocationALower-35_34_T-1,19,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",14,-inf,2.16960906982422E-05,0.0286886692047119,0,0.0287103652954102,11,1,
DEU_LocationALower-36_113_T-1,14,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",9,-inf,3.57627868652344E-05,0.0370275974273682,0,0.0370633602142334,11,1,
DEU_LocationALower-36_208_T-1,8,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",3,-inf,2.55107879638672E-05,0.0159692764282227,0,0.0159947872161865,15,1,
DEU_LocationALower-37_231_T-1,23,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",5,-inf,2.52723693847656E-05,0.0277509689331055,0,0.0277762413024902,14,1,
DEU_LocationALower-37_235_T-1,8,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'a', 'd', '~g', 'c'}",4,-inf,2.26497650146484E-05,0.0235443115234375,0,0.0235669612884521,3,1,
DEU_LocationALower-37_4_T-1,22,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",3,-inf,2.98023223876953E-05,0.0213837623596191,0,0.0214135646820068,13,1,
DEU_LocationALower-12_109_T-1,20,R_G1,error/failed with 'NoneType' object is not iterable,"{'b', 'c', 'a', 'd', 'e'}",8,-inf,2.14576721191406E-05,0.0370745658874512,0,0.0370960235595703,19,1,
DEU_LocationALower-12_52_T-1,26,R_G1,error/failed with 'NoneType' object is not iterable,"{'b', 'c', 'a', 'd', 'e'}",7,-inf,1.95503234863281E-05,0.0389993190765381,0,0.0390188694000244,17,1,
DEU_LocationALower-13_82_T-1,17,R_G1,error/failed with 'NoneType' object is not iterable,"{'b', 'c', 'a', 'd', 'e'}",13,-inf,3.83853912353516E-05,0.0454933643341064,0,0.0455317497253418,17,1,
DEU_LocationALower-33_128_T-1,6,R_G1,error/failed with 'NoneType' object is not iterable,"{'b', 'c', 'a', 'd', 'e'}",8,-inf,1.97887420654297E-05,0.0368068218231201,0,0.0368266105651855,21,1,
DEU_LocationALower-34_96_T-1,14,R_G1,error/failed with 'NoneType' object is not iterable,"{'b', 'c', 'a', 'd', 'e'}",8,-inf,2.21729278564453E-05,0.0377006530761719,0,0.0377228260040283,8,1,
DEU_LocationALower-28_252_T-1,12,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
DEU_LocationALower-33_261_T-1,13,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
DEU_LocationALower-34_120_T-1,17,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
DEU_LocationALower-36_123_T-1,15,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
DEU_LocationALower-37_1_T-1,11,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
DEU_LocationALower-33_228_T-1,14,R_G1,not repairable,"{'b', 'c', 'a', 'g', 'h', 'd', 'f', '~e'}",15,-inf,8.74996185302734E-05,0.233011245727539,0,0.233098745346069,9,4,
DEU_LocationALower-36_263_T-1,15,R_G1,not repairable,"{'f', 'g', 'b', 'a', 'h', 'd', 'c', '~e'}",1,-inf,9.10758972167969E-05,0.11503529548645,0,0.115126371383667,11,4,
DEU_LocationALower-36_269_T-1,18,R_G1,not repairable,"{'f', 'g', 'b', 'a', 'h', 'd', 'c', '~e'}",1,-inf,9.05990600585938E-05,0.0626380443572998,0,0.0627286434173584,17,4,
DEU_LocationALower-36_291_T-1,13,R_G1,not repairable,"{'f', 'g', 'b', 'a', 'h', 'd', 'c', '~e'}",1,-inf,8.13007354736328E-05,0.0673706531524658,0,0.0674519538879395,9,4,
DEU_LocationALower-37_121_T-1,16,R_G1,not repairable,"{'f', 'g', 'b', 'a', 'h', 'd', 'c', '~e'}",1,-inf,8.41617584228516E-05,0.068939208984375,0,0.0690233707427979,10,4,
DEU_LocationALower-37_240_T-1,8,R_G1,not repairable,"{'f', 'g', 'b', 'a', 'h', 'd', 'c', '~e'}",1,-inf,8.74996185302734E-05,0.119580030441284,0,0.119667530059814,4,4,
